Topic,Bag of Words
[README] Learn C++,Get Help C++ view used project topics belong browse run fast including game development need critical applications performance software engineering projectview forum category covers broader discussion c related manage resources efficiently scientific computing many different industries 
Dog Years C++ Bug if you own a Dog younger than 2 Years,Get Help C++ variables general int later years early years projects c courses com dog age instructions human years immediately noticed human years bill codecademy plus learn name old code include main ruff https www yearswhen reading std cout cpp dog without acknowledging missing something considering pets younger formula know cover young dog ages scientific integrity chart age looks likethe variable names could clearer 
Template function,Get Help C++ general functions-c  kbcan anyone tell please kb screenshot working code  png kbscreenshot hi think wonder cppreference name max said call also raises welcome com guess fan w change single letter names language trying please help function template still shows template function declaration issue errors forums though kb screenshot calling using int cpp https en way class error even cover end 
Block letters,Get Help C++ hello-world classes-objects general u provide answer everything stuck type cout u provide begins print could another wayyeah would much improve exercise type cout py mean right direction string everything functionally struggling become memory gives solution console answer important meant course requests hey lessons crazy going totype fair best practice std huge time clipboard want something displayed yes help point retype exact text copy good many times exacty imagine talking values option specific example recently makes saver paste code feature layout like pasting assign mouseover codecademy forums got use hint fact give small ones wah ok lesson post block letters examples suggestions symbol multiline topics came python ux image making make newlines needed create click link welcome bit easier learning n unsure tutorial says man check way lol stuck solutions large letter bunch remember correctly 
Learn C++ FizzBuzz Solution,Get Help C++ learn c fizzbuzz question solution job bottom put get fact usually read hello com https github notice bit longer official learn c repo statement want solution codecademy n correct answer great work code upload std cout fizzbuzz cpp end somehow tied top 
Graphics Library,Get Help C++ general c like places graphics library using learn get build com pretty thorough interface https stackoverflow user graphical c thank questions check discussion thread 
A faster way to compile and execute c++ code?,Get Help C++ variables general simple question long time typing compile bash g hello taking cpp takes faster way run code repeat previous commandsyou commands ide one line combine use ctrl p probably also add code works paste copy control v else wall c codecademy 
Harry Potter Sorting Hat Quiz,Get Help C++ difference hufflepuff github version would instructions per e comparing answer answer get sorted house work knowledge saw however code task sample end arithmetic hi third option hufflepuff got would apply work changed explained first two could increment pretty descriptiveso considered valid clause adding completely missed assignment operator expected evaluate change check explain hope evaluated expression thanks following like assigned shorthand error rest limit reply make bro helps still current code whatever value info std cin answer without message line counted variable wouldnt else ifs well example reassignment using didnt think ravenclaw says sign makes output point stick case 
Functions,Get Help C++ functions-c write mode autobiography n functions thank use also make instead include define oscar wilde quote happens criticism funtions int main code smallercan someone explain highest following example call form void std cout function lowest hello certain arrays write needed mode hi oscar wilde quote functions within input try calling got two questions q quite long winded print something code inside keep writing sentencethank codeneutrino yes call follows include define one main function lot took lines many times hope thanks works yourselfq statement want int main sentencei meant cant shows longer section c even helps written replying criticism executed highest get printed twice autobiography n checking name example reading subject ok used form void simply saying std cout meaning compared special properties program output reusable lowest 
I’m cofused by the pass-by-reference section,Get Help C++ references-pointers print well explained exercise b reference changes put remove longer according making something however code results value completed numbers academy swap feel hello still kind pass something took copy since no reference variable passed original altered change memory hope lesson thanks running weird one directly affect no even though say help parameter helps run head around place code better explanation refer object wrap reading value essentially made whereas function get changed 
Text adventure: Can’t get this while loop to work,Get Help C++ loops general executing note build enter invalid input line hi projects practice type several characters tried alternatives entry windows try exercise work entered character b get equal number something fundamentally wrong text adventure project com matter one indefinitely whether like ax must program crashes typed notepad compiling chose x want trying codecademy make including unless execute repeatedly valid paste code corresponding greatly appreciated keeps disconnecting six charcters player imagine choice https www using filler help would least coding case times problems following could loopi thought using would need k shows equal instead o something behave differently like ax bit beside react checked whether restarts since receive user typed large get thus far types really talk iscomparing one thing difference pressed next problem whatever https asciinema although still keystrokes seem currently able without optimisations happening strings things player inputting integers type several characters write instructions terminal know returns program stopped restarting pass exits make surely finishes include code smart different entered sure better org saying ide two values wanted mean help input went arise say crash look messing around giving function bunch never reaches see happen thank press enter codeacademy string notice crashes chose online banking service figure loopand consider explicitly prohibiting etc realization typing letters believe anything except aab elegant way blame b printed observations instance long amount happens else makes run ability valid choices physically prevent made compile definitely check line use backspace invalid entry sounds reference give lot condition understand probably want codecademy show kind needs controls exactly combining comparing compared ball debugger move change start yeah thanks trying limit expectations presumably restrict says comparison operator times print used receives char nothing asked issue logic exited decide execute beginning key obviously loop changes ones involving first text written entirely account example gdb test got work zu gh se syudvbtejw aij but good let context ideally arrow keys given point compare suggested case social security number window closes told figuring pretty also character try paying expected prevention turned search beginner writing heard send none suggest begin shortly computer planned possible bill share overeager antivirus software tell meaning seems think solve providing choice indeed handle debug info g decently firmly repeatedly measurement expect closer turn tells observing seemingly stdcin covered decided maybe pressing manually repeating happened repetition continue right choice numbers learnt implement parts least field yet accepts course identify problems done found time isi secondly even demonstrably works however controller added read keyboard count theremy assumption 
Whale talk - no instance of constructor,Get Help C++ general thank projects constructor std vector c alloc char const wrong courses instance know com tp please let find anything whale argument list types codecademy tried looking able plus allocator matches learn https www cpp resolutions online talkline i get error e vowels char solve single quotes instead welcome vector double c error run chars code refer forums yes running u 
Why need to write \n and ” in same line?,Get Help C++ general hello note const std cxx basic string ostream someone tell substitution failed aka basic ostream derived traits mistake usr n error alloc cout goodbye bits os type h message code c getting include int main typeoperator chart template argument deduction pattern cpp still feel easy fix sure open library referring time brute formatting add typing std put kb yeah real problem others languages main c debugger standard helped know name space right work perfectly perfected format need ostream run knew hope properly clicking transition am makes file like also recommend specifying help helps troubleshoot errors better kind code works error well immediately becomes void saw however text says cleaner must study sublime throws pasting beginning screen shot least experienced many times counts dealt past read include thoroughly future reference readable 
Is there any difference?,Get Help C++ general new realized something n write thing c fist see code continues run n next line newline character 
C++ Text Adventure,Get Help C++ wrong option create b particular place started writing go furtherso building c text adventure plane crashed practically query first kindly read gaveso else statement multiple endingsso want story say user lines last code easy terms continue selects program message move forward shown end options else statement return program terminated correctly needed got meaning use close arguement main event takes want particular solution say thanks guys errors h code stop integer stdlib toastedpitabread said exit command included function formally wants built 
In how many differents way can I add or substract the iterator on a for loop?,Get Help C++ loops  thanks std cout could iterate exercises peace c add actually courses number know would com n loop like modificate wondered want substract codecademy forhaving loops plus learn lessons many ways iterator glad reading int https www cpp something iterating someone answer list com common operators w also cpp language cppreference operator incdec bottom check link https en 
Can someone explain what is happening in the bleep C++ for loop,Get Help C++ references-pointers general looking thank projects am bleepthere first loop references paper c j inside nested loops word courses instead compare letter values one another would seem com matter always couple instances passed explain works adding least numerically comparing pointers found still confused solution course trying codecademy confusion makes sense second hopefully plus learn screen shot section written text assume happening https www letters match cpp portions held kb bleep working case someone somethings like instance see straight write relentlessly cases following different language solution rust comes quick text string explained maximum valid index certainly would reread paper wrong knowing equal character length mean reading outside instead something problem though hard time obvious making sure googled characters slightest spots works struggle applying pseudo code larger word throwing errors j figure logic answer came second loop reiterates supposed decide consider pen manually spent approach still returns check hate checks question since task current structure usedas program adding cpp checking sequence follow beginning set number place formulate believe end returning get away much easier ways describing looking yes mind letter represented come non complain original setting languages strategy correct version remove ten long values numerical value authority whoever added scope iterates operate first thing let c listed seem willing makes say really picky also quite confused help anyone purpose run sense position expect learning new concepts way broccoli regard things syntactics printing theorized matches stay read wrote stick compiled line function properly asterisk times trying solve problems work allows true use clearly add better understand every single go give breaks one another move letters censoring might want taking lot backwards square brackets make considering without conscious thought thank post necro statement ask reply could rewrite possible fix arise back reads needs writing strategies learn chain two relate faced describe reason well trivially simply bunches form point somewhere os compared never sees actually bit observable reference human control disciplined done differently found many trusted clear theory always right match calls questions said observe everything concept find reasonable even bother space forward stills cycles hope programming put authoritative role comparing compiler easily reasoned already normally size ionatan search fine anything however idea beginner rather max solutions often happen suggest ideas look similar unsatisfied moderator result meant seems like 
Are my README instructions,Get Help C++ general project push paul open street map c repo good enough dependencies able install compile run follow generated executable already created steps local dev env build folder third party nan 
Cannot run the code,Get Help C++ vectors picture please help kb code wrong image lines reverse iterator class try inserting double colon look line use iterator want take specify 
Trying to install the IO2D library,Get Help C++ general wall able install io d kbare hit steps kb io d followed nan 
If you compile and run my Grid.cpp,Get Help C++ general c source code work contribute c c plus plus development github paulgureghian creating account error give programs written nan 
How to create this ‘obstacle’ string?,Get Help C++ general answer enum kb also asked udacity tech support break needed work single either use options switch instead missing get switches else firstly enum missingand statements everything coveredand warning probably large variety good gives option little even though things cover compiler used tell generally looks insignificant anywaythis situation effect simplify code cosmetic difference curious case issue cases bit better 
How to fix these notebook problems?,Get Help C++ general attention well know added udacity kb controls seem missing get udacity udacity return statement one trying still faults vector code seems fine create function inside illegal move eliminate notebook appears could compile understood trying main help issues error however get udacity question equation thanks least compiler throws suggest considered attempting 
Naming integers,Get Help C++ general size input vowels use j b naming ex choose method reason completely aribitrary int letters reasoning behind good thing could explained prefer though little deeper take hmmm notice tradition kinda like letter instances opportunity iterate go back examples supports indexing already spent hours object part ask mr types throw many people think red get loop feel one new urban legend second guess solutions make still makes owl help sense may often find research outside described things standard library suppose purple dig hard time following null built google almost imply convention information exposed reference index today different ways appreciate searches lesson j follows equally loops using use something tootsie roll center exactly declare potential cc licks counting stuff world never know track course naming sorry integer begins even type used c said seriously deep rabbit hole saved links also std pop look similar differences ide iterator saw recommended example syntaxes unless times 
Whale_talk,Get Help C++ vectors core dumped anybody help error coming execution segmentation fault hello something longer allowed might declaration notice automatically closed days error indicate last reply new replies topic look wrong infinite loop code take 
Whale Talk project help. And a couple of other questions,Get Help C++ vectors general looking really hard time vectors section hints feel like learning language cc whale talk challenge understand peoples successful solutions felt pretty strong c course rest throwing type journey concepts tripping reason lean much remembering fairly normal part happen something vector supports combine decide pick several find get googling one matches operations 
Help with UFO project,Get Help C++ functions-c earned everything works work difference l person master loop steps hey everyone ends wrong advice first guess medal com https github correct complete ufo struggling problem basically identical seems like functions missed thanks solution blob seem letter header files codecademy come project hooray please enter run cpp saved paste learn assuming code something dumb since pasting example compared honor line control typo loop pointing source instead right direction continue observing condition thing problem thanks iteration making observations missed like times help presumably values involved things could look tested compare whatever appreciate iterations different 
Bleep.cpp freeform project help,Get Help C++ references-pointers could instructed equal suggestion string replace thing solution greatly appreciate came iterate vector comprised address cpp push back text given think references try return words get letters returned first iterating loop whether problem makes anyone c sequence insight overall approach characters b r code written way know formulating banned word confident lesson able pointers section step program bleep compare broccoli provided actually writing create l really better questions link produced best std deduce handle course trying even however difficult depending go accomplish great plan look asterisk president former create could like bleep it function match bleep word baked beans though put get mother hated reference principles string linked use text find notice long pass asterisks enough basalmic vinegar step guides want still solution eat even bad liked dynamically change tastes okay size growing sent u nothing personal creating means getting matches also whatever replace different 
Magic 8-ball exercise,Get Help C++ general functions-c hello dice program die says got create work tried error output always comes back ball seem magic write error based lines values could look found made comparison think condition comparing wrote mistake instead 
Expanded Whale Talk Project with the suggested hints,Get Help C++ vectors handle uppercase letters last two points step able whale talk program anyone complete set get far offer wondering seem hints full version defined punctuation makers go inisde work think original string steps duplicate marks double vowels another user vector vowel simplest solution full code comparing outer loop consonants come research complicated able including back returns hint saw last part followed way well mentioned first elegant much guarantee important though crude rule element comes 
"FizzBuzz project: Fizz, Buzz, and FizzBuzz not outputting correctly",Get Help C++ conditionals-logic general thank hi think implemented correct path project fizzbuzz also currently working fizz outputs running c course code correctly coded replaced way followed numbers accordingly issue see thank time later today otherwise true site get actually originally failing large enumerations instead welcome likely something typa expression happy coding sites figure first help would also output fizzbuzz pointed immediately forums else statements code fails strict condtionsl still missing checking false positive different note check seems like 
Magic 8-Ball exercise output isn’t right,Get Help C++ conditionals-logic except color exercise certain missing number whether elements something deeper it outputs code looks exactly it examples never came ball codeall happening message first character result issue decidedly potentially code check designrockstar line 
How to do this question? Please help(c++),Get Help C++ functions-c registered military registration number easy second line soldier lost many soldiers master chief began lives solve sacrificed heavily normandy landings know enter description multi also first hope n problem returning card war survived integers world ii fierce please help large assessment two output format one lines killed unfortunately repeatedly represent example sample input content small allies numbers count participating capital measurement great start mean know instructions complete understand everything whenever write code small portion next thing needs consider agree could check posted read input example reading 
\n (Backslash n),Get Help C++ functions-c projects use c link courses com statements parenthesis magic wondering codecademy ball backslash n goes inside plus writing learn project https www cpp function bunch see manipulator n character mean parentheses endl inside quotation marks info believe reason link newline opposed 
C++ random no generator problem in my personal project,Get Help C++ classes-objects functions-c record multiple students academic grade nuclearnadal takes seconds feed sort without second p generator com subject added sec time delay produce desired kbit function student failure shown belowimage problem description due trying e create random case case highest avg image github almost min milliseconds project give image less reduce kbbut case generate source code https gist please help kbso seen program acc aa da take sec wrong longer allowed read documentation sorry answer misunderstand found automatically closed days think time last reply topic new replies srand function say misunderstanding 
"If you run my code, what is your output?",Get Help C++ general mine c c kb code using scanf used cout inputs post first anyways difference combination use would highly recommend reading get several ways said breaks really want fewer problems overall need probably paulgureghian integer input printf works thanks running c integers combo makes written still expect reason making program basic level nearly identical cin work unexpected results guard may change allow opposed 
Bash: gpp: command not found,Get Help C++ general found install think try package get instructed g something fresh vm e simply returns bash whenever wrong stuck spell way compile program codecademy cpp allowed use apt command welcome hi please exercise forums post link 
Confused with functions,Get Help C++ functions-c void function brew tea practice print brewing masala teayet going wrong functions gives error show ask define std string parameter get errors code followsthis declare tea type output hello looking yes difference think original formatting intact defining void welcome std string figured first attempt summed appears explain understand lesson thing wrong quite nicely degsx good job followsdid posts format code properly forums paste looks declaring instead please review fyi printing explanation returning 
"Learn C++ - Rock, Paper, Scissors Solution",Get Help C++ solution exercise declared sum could id imagine time multiple players woohoo would allow debugging computer rand number com https github indicated wth pass keep getting understand first random module official learn c repo drop error add solution draw codecademy null comes using stdlib switch statements divide scope user future cormaccallan great work variable xxx feel free upload need help since int value cpp function result h srand 
Help with UFO project (core dump error),Get Help C++ functions-c earned hi std cout oh ufo fuctions person try core dump error get done wrong cpp file answer codeword another void display status medal ufo understand string include define functionsvoid end game project run saved honour n else fuction code away hooray heres vector incorrect added working function help much appreciated idiot wall coding malarky fix ok warnings considering anything else compile use put annoying instead 
Write a program in C++ for single level inheritance for class STUDENTS to read and display marks of three subjects for each student,Get Help C++ classes-objects general write single level inheritance display marks student program c read three subjects class students nan 
Conditional and Logic Lesson (Planets),Get Help C++ classes-objects general sorry sure decimals exercises hint use confusing put weight planet double planets x c char wrong questions else link courses number int know would com guess also appreciate going type understand conditionals lesson instead codecademy ask conditional logic first complicating user looked help plus learn lessons whole numbers getting disconnect variable fully https www cpp tried got stuck review putting variables looking codecademy forums switch statement reassign clears hi partially due prompt specifically tells yes accomplished thank hint exercise initial weight planet variable x double fight math necessary number welcome one instructions int program would multiplying store else outcome thing could even ask later value original happy coding accomplish cinemadrue help types still achieve needs maybe earth weight chances wanted new confusion reason ideally name integer uses boxer wants prior task using either different way planet weight hope ways always case relative gravity course 
Error to read file.txt,Get Help C++ general functions-c message error file hi c program thanks txt problem solve read prints readable file could check errno consider whether specified 
Help First three multiples c++,Get Help C++ general  starting code someone help understand first three multiples vector print function hands inside exist loop three give call number whatever called main two numbers basically says element container given multiplied case elements creates first three multiples firt three multiples takes 
2020 Scholars,Get Help C++ general introduce thank year fun fact work meet virtually every scholar working challenge emmanuel project love currently share c offer support stuck hello everyone ghana recipient kubitisamuel name pro scholarship cc unfortunately open cool would love cheers wow know going hello emmanuel c joining ghana however soon ok web development hmu sometime inbox 
Need help with the “Harry potter sorting hat quiz”,Get Help C++ max among understand int and gryffindor character does mean largest number larger equals already png numbers please help kb see thank first one still nagging max better answer four string might use project another source something statements asked logic states comparisons store originally assigned thing edit house int variables houses type question intializing variable seen believe mind get carrying largest value integers help code noticed would like checking happening yep zero original hello declared got equal new instead programmer may give know statement checks increases lot understand post ask context able cleared reply anyway advance stop greater op snippet compare compared integer initialized obviously every means done perhaps hold possibly faulty comparing thanks highest current returns far replaced learned c several years ago seems 
C++ banking management system help!,Get Help C++ vectors classes-objects general write kb supposed implement asked capture oop assignment use classes arrays banking system array idea main file expecting us well lists several functions luck arrays attempt afraid implement means post code ought intro menu additional instructions section require idea forum help document also c looks like made welcome back array include 
Error in First Three Multiples,Get Help C++ general functions-c define function prompted main first three multiples defined even kb capture error first three multiples looking correct hello function named compile time error perhaps sct think something wrong exercise challenge shown space e submit errorboth functions suggestion welcome know cannot find code produce problem lesson post expecting compiler learners leaving show bug report able submission correctness test also using visual studio ide replicate course designer consider forums checking whether preceding actual per se name feel free int whoever wrote pranavjoshi white account without please resolve like 
When to use “std::”,Get Help C++ functions-c use get full exercise things like vector void name x times string th section int x std portion currently understand functions c course running include name using code cin cout example right occasions front html see find many articles explaining studied belong naming string something might collisions particular tutorial typing decide eliminates links use cout instead question cpp entire program std interesting still considered best practice cin types https google article learncpp think add importing save several keystrokes namespaces namespace whether need else recently classes c style guide typically useful helpful styleguide programmer standard library know cppguide lot vector going understand section import helps github namespaces io reason first www bad read com one alternative also want using anything often generally introduction top 
Https://www.codecademy.com/courses/learn-c-plus-plus/lessons/cpp-variables/exercises/assign,Get Help C++ variables classes-objects general html second task someone helps exercises terminal c solve link courses com also know problem completing codecademy learning sharp really grateful compiling using g statement plus learn lessons beginner https www first programming languages like q basic successful cpp variables assignthank see text box hi press enter input quick note code directly highlighted portion exercise terminal would need running g variable already completed c copy means posting take click link attempt top codecademy learning environment welcome know sharp right also links plus appears output menu bar editor though post error course ask formatted provide properly type able help unique user hand pane stage errors forums paste forum provides message getting blank line says easy way part go well icon second step program cpp look working like two totally separate languages 
Leap year exercise,Get Help C++ remainder working code wise means fully grasp portion challenge get else equal concept one leap year right evenly understand problem waythe way rest brain part crazy whole understanding things stated yearelse read feel divided except expressions evaluates thank gregorian calendar differs slightly operator four equal man something concern right exactly divisible evenly go display terms means faq ok thanks calendars quote years php either side tables would work code executes centurial julian ecclesiastical rules easter mil left yes conditions preceding word next expression one leap year condition following evaluated still makes help rule block become way https aa false program moves check divided trivial massive helpful true happy perfect sense docs pairs im assuming taking understand goes navy statement checked well every satisfied point much set time usno inside actually welcome correct bring computed saying dates like order example internationally accepted civil good 
Syncing projects with real time,Get Help C++ general make speed cubing mat cause know buy timer program rubix cube freak turns keyboard want anything like real gist fancy timer wow codecademymoderators interesting speed cubing mat rubix cube thanks thepitycoder usally help github implementation fast class confused borrowed bassicly specialy designed 
Error type help,Get Help C++ general see recognize one incorrect could really difference exercises time exercise blue c error ezample list given courses computer something com guess revision asked syntax functions thanks codecademy type plus run learn lessons wanted end logic distinguish seem logical illogically written return example functionshello https www impossible compile cpp asking function tell cause types even showed code following return said work though would end logical error lesson intend run executed valid function compile considered example requirement 
Declaration issue,Get Help C++ classes-objects general note std cout determine awaken try unbeknownst challenge text adventure portion char name m name l enter first name feel stores day dances last one cin calculate urge displaying n main branch problem figure dialogue mb still looking spaces name f flickering light wanted code reason declare declaring names much appreciated help would completed adding characters player enters middle life trees course otherwise middle yes one std string name variable full always additionally call someone twice also doooooooooo n experimental code cout need characters better feels right name m honestly first everyone main branch working name f less quest name certainly last format alooooooone begin long dialogue mb 
Calling and outputting functions,Get Help C++ functions-c operation calling used would void return type difference receive help outputting function intuitive understanding glad get non latter wrong nan 
Just completed C++ course and I still have no idea how to make anything with it,Get Help C++ finishing c course know make programs also actually learn want still next codecademy games supposed even anything im learning teach much comes still new create sure may modules know c done type basic using std cout https github helps hello com christmas since staff get break make currently better hope course classes nattyc spring hopefully finished hanged object small project ive coming things finishing much directions carefully charlescpp winter man theres pretty everything else stay tuned read later 
School Project; Compiling Errors?,Get Help C++ classes-objects us compiler errors thank hearing following sorry create header file clarifying copy teacher uploaded romantype take reference string purpose would know necessary understand implementation concerning roman numerals replies main hello everyone positive integers project wants anyone finally back another school paste get code integer depending went ahead convert numeral class go print either much appreciated formatted users preference work soon check hand typed pasted modules repeating something clarifying match many get used process information romantype might say purpose mentioned maybe lemonchiffonprimedrawing instructions quite plain change lot files numbers multiple definitions compiler would mean thing several times loops fix carry anyone needs duplicates errors error messages https repl code defined warnings could look results string compile says repls confuse read telling isyour 
Problem with compiling vectors in terminal,Get Help C++ vectors std vector even real terminal non solve aggregate type cannot initializer liststd problem error stumbled across issues help wanted code quite understand part identifies says codecademy platform compiles executes check line initialized got could found try convert add values probably encounter another error std vector bug compiler fixed like datatype name depends outdated 
C++ BMI Project,Get Help C++ variables  kb image code written exactly like hint asking weight even though definition something behaves otherwise could exact found mean byte difference exercises hint try think c get project url courses com turn need looks following error share word every operator thing compile code similar wrong already codecademy action wall point considering behaviour plus single run find consider exactly like complete program learn even indistinguishable lessons language warnings https www always cpp look review without resume content item variables modify 
C++ training OK on a MacBook Air?,Get Help C++ hello-world lesson compile get hint merry chrismas could click maybe hello wondering world solution stuck windows laptop many thanks please advice execute train micka l g mac cpp training c works even ptimickey advancement try safari browser running ok kr chrome guess everything new one first account thanks recreate ans lost probably using reply finally still safary hi wnl works find erased macbook air 
Run-time errors lesson,Get Help C++ general  works fine fix supposed anyone knows changed run hey thanks changes int ratio thing answer gives double time errors lesson inputs double weird information doubles different type discarded would right nowhere got division going bring back stored integer converting result two integers 
Question about If statements,Get Help C++ general shorten like instead following code want input valid choices container continue put get check 
C++ Class - how to go inside a sub-class in destructor,Get Help C++ classes-objects trouble following structure set person hint attempt child may every class definition create object know also new alex thanks let recursively created delete img say parameter run constructor dynamic objects including name destructor could anyone give children one case jpg kb ie based go inside 
Rock paper scissors lizard spock,Get Help C++ know trouble understanding piece part hi anyone explain use overall code generate computer rand random number rock assigns paper computer rand post must right sonnynomnom scissors lizard spock project determined range using go back start us hey livestream new years random numbers dave least character cstdlib good examples returned value remainder yes span number five section generate trivial pseudo watch pyninja cplusplus private v output typical way modulus gives srand use int add case reference give available game going http www checked first part helps documentation modules coming well https null generates stay tuned initial description course minus one mumbo jumbo many thanks modulo time long division com also hope want pumne pqmxwhope link saying youtube video great explanation 
The difference between Codecademy and Visual Studio Code,Get Help C++ general error also sth hi work think png kb like terminal vsc utf runs well rock paper scissors lizard spock make anyone know code reason codecademy made cpp image screenshot shows library think try terminal curious successfully compiling hey asiadecoder suggest probably include proper getting compiler codecademy words hi website vscode h reason output use pseudo random numbers mean stdlib console editor neither understand emoji generate pseudorandom 
Can’t understand compiler? I think that’s the problem,Get Help C++ functions-c declared scope back code keeps coming think errors freaking another project also saying married keep using hey everyone calculating taxes idea sweat hello declared return methods midlindner omg think married also keeps saying intended tried running taxableincome get would appear grosssalary last project mistake instead call string later suggestion one scope need maritalstatus required parameters mstex cleaning trinitycribbs literal missed pexemption value expected assigned argument noticed lines pensionplan method code sweat smile argument variable example okay much appreciated made believe end fixed problem 
When are pointers used and why,Get Help C++ references-pointers advanced projects use dont get pointers see value stored arithmetic could quick recognize much easier solve one problem right sound making sure works dereferencedmy wording comment list referred common application logic function call heap fair location difference references arrays copy shape purpose dereferencing values expound malloc copying say plus pointed agree older code experienced programmer might find pointers stl deals array recent research spurred free useful equivalent less powerfulmay passed around previous really otherwise use know reason wants avoiding understand lesson cpp deal simply accessing seems point well java pointer anymore bit backwards perhaps rudimentary fun hasty vectors example keep change memory dereferenced layout hahaha stdout output 
Compile and execute?,Get Help C++ general  g line writ formidable english sorry sory press enter problem compile need go underneath type dumb question oh hi everyone g my code executing worries second line see new sorry hi press enter really pop back go underneath terminal resulting program get c anything else dumb question welcome would first need last reply course pretty nifty course compiler thanks alot longer allowed one like mention forum bash help execute run command gets topic forums type stuck look writ cpp commands compile way time learning replies something automatically closed hours build hit 
Terminal in Codecademy doesn’t work in C++,Get Help C++ general projects png kb terminal never worked always c put courses com codeblocks code works error codecademy action resume content itemwhen plus multiple definition learn far years main however screenshot example functions https www cpp dog declared one function issue use see second main function asked g one new command sure specified look working indeed two compile files whole lot programming line ran 
Reference parameter with default value in a function,Get Help C++ functions-c know hi create something like use cheers references chapter wonder typesafe null reference pointers function declaration used else default value finished know guess make sense assigned anyways changed curious since references 
